"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Howe C.; Randall K.; Chalkley S.; Bell D.","Howe, Cathy (55651416200); Randall, Katie (57204025082); Chalkley, Sylvia (6701920564); Bell, Derek (14521994200)","55651416200; 57204025082; 6701920564; 14521994200","Supporting improvement in a quality collaborative","2013","British Journal of Health Care Management","19","9","","434","442","8","10.12968/bjhc.2013.19.9.434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884250988&doi=10.12968%2fbjhc.2013.19.9.434&partnerID=40&md5=bef9df5c71e07e315bdfffedac68387e","Quality improvement collaboratives seek to address the mandate to improve healthcare quality and reduce inappropriate variations in care through the use of defined methods and change concepts. There are indications of positive effects, but less evidence of the effectiveness of the methods - the 'black box' of the intervention - and how to effectively implement a collaborative. This study uses an assessment framework to quantify engagement with and uptake of collaborative methodology in 17 projects in a quality improvement collaborative in North West London. The framework developed by the NIHR CLAHRC for Northwest London showed variation in uptake and use of methods within and across projects. For example, most projects involved patients and the public and disseminated learning. There was more limited engagement with the NHS Institute for Innovation and Improvement Sustainability Model. The framework provides detailed methods-related information that collaborative leaders could use for generative learning to meet participants' needs, and identify peer exemplars. This study raises important questions about implementation fidelity and highlights the need to open the 'black box' both while the work is in progress to allow generative learning, and for the purposes of evaluation. © 2013 MA Healthcare Ltd.","Assessment; Collaborative; Generative learning; Implementation fidelity; Quality improvement",""
"Archibald M.; Wiebe S.; Rieger K.; Linton J.; Woodgate R.","Archibald, Mandy (55246579100); Wiebe, Sandra (7006561630); Rieger, Kendra (55770191400); Linton, Janice (55418378200); Woodgate, Roberta (18343093700)","55246579100; 7006561630; 55770191400; 55418378200; 18343093700","Protocol for a systematic review of living labs in healthcare","2021","BMJ Open","11","2","039246","","","","10.1136/bmjopen-2020-039246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100616291&doi=10.1136%2fbmjopen-2020-039246&partnerID=40&md5=20f19ab5e7e18118734d63523580130d","Introduction Healthcare is increasingly challenged to meet the demands of user involvement and knowledge mobilisation required by the 21st-century patient-centred and knowledge-based economies. Innovations are needed to reduce problematic barriers to knowledge exchange and improve collaborative problem solving. Living labs, as open knowledge systems, have the potential to address these gaps but are underexplored in healthcare. Methods and analysis We will conduct the first systematic review of living labs across healthcare contexts. We will comprehensively search the following online databases from inception to 31 December 2020: Scopus, the Cochrane Library (Wiley), Medline (OVID), Embase (OVID), Web of Science, PsycINFO (OVID) and EBSCOhost databases including Academic Search Complete, Business Source Premier, Canadian Reference Centre, CINAHL, MasterFILE Premier, SPORTDiscus, Library & Information Science Source, Library, Information Science & Technology Abstracts, AgeLine, EconLit, Art Full Text, Women's Studies International and Social Work Abstracts. We will search for grey literature using Google advanced techniques and books/book chapters through scholarly and bibliographical databases. We will use a dual-reviewer, two-step selection process with pre-established inclusion criteria and limit to English language publications. Empirical studies of any design examining living lab development, implementation or evaluation in health or healthcare will be included. We will use the Mixed Methods Appraisal Tool (MMAT) for methodological quality appraisal and Covidence software for review management, and we will extract data on pre-established variables such as lab context and technological platforms. We will create evidence tables and analyse across variables such as focal aim and achievement of living lab principles, such as the use of cocreation and multimethod approaches. We will tabulate data for descriptive reporting and narrative synthesis to identify current applications, approaches and promising areas for living lab development across health contexts. Ethics and dissemination Ethical approval was not required for this review. This review will inform research into living labs in health environments, including guidance for a living lab in paediatric rehabilitation. Academic publications shared through collaborative networks and social media channels will provide substantive knowledge to the growing tech-health development sector and to researchers, practitioners and organisations seeking enhanced patient/stakeholder engagement and innovations in knowledge translation and evidence-based practice. PROSPERO registration number CRD42020175275  © ","health services administration & management; information technology","Canada; Child; Delivery of Health Care; Evidence-Based Practice; Female; Health Facilities; Humans; Organizations; Review Literature as Topic; achievement; child; Cinahl; Cochrane Library; Embase; empiricism; English (language); evidence based practice center; female; grey literature; human; information science; information technology; Medline; narrative; organization; pediatric rehabilitation; physician; PsycINFO; review; Scopus; social media; social work; software; stakeholder engagement; synthesis; systematic review; Web of Science; Canada; evidence based practice; health care delivery; health care facility; literature"
"Grine L.; Janssens R.; van Overbeeke E.; Derijcke D.; Silva M.; Delys B.; Dusart I.; Aertsen V.; Mertens de Wilmars M.; Robaczewska J.; Stevens H.","Grine, Lynda (55999495000); Janssens, Rosanne (57204095862); van Overbeeke, Eline (57195717661); Derijcke, Danielle (57215524614); Silva, Mitchell (57225979166); Delys, Belinda (57215528308); Dusart, Isabelle (57200653401); Aertsen, Veerle (57215525746); Mertens de Wilmars, Magali (57215528331); Robaczewska, Joanna (57215527654); Stevens, Hilde (56789617300)","55999495000; 57204095862; 57195717661; 57215524614; 57225979166; 57215528308; 57200653401; 57215525746; 57215528331; 57215527654; 56789617300","Improving Patient Involvement in the Lifecycle of Medicines: Insights From the EUPATI BE Survey","2020","Frontiers in Medicine","7","","36","","","","10.3389/fmed.2020.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081052081&doi=10.3389%2ffmed.2020.00036&partnerID=40&md5=de8308ddf82ba026b867c743a8d6c662","EUPATI Belgium (EUPATI.be) is an informal gathering of local partners who are interested in improving patient involvement in healthcare innovation and medicines research and development. EUPATI.be brings together various stakeholders from different areas related to healthcare including patients, academia and industry. In doing so, we create an innovative collaborative approach where actors from different backgrounds work toward improving patient involvement in medical research, and putting the patient at the center of the Belgian healthcare system. Previously, we performed in-depth interviews with a small group of stakeholders on patient involvement. Here, we elaborate on our previous findings by using a nation-wide survey to inquire into Belgian stakeholders' perception on patient involvement. To this end, an electronic survey was available in French, Dutch and English, and accessible for 11 months. Twelve questions were asked, including 11 multiple choice questions and 1 open question. The latter was thematically analyzed according to the framework method. A total of 117 responses were registered and descriptive statistics were performed. The majority of respondents could be categorized into patient, academia and industry, whereas policy makers, payers, and healthcare professionals were underrepresented. We identified several barriers that hamper patient involvement, which were sometimes more reported by specific stakeholder groups. Next, we found that various stakeholders still consider patient involvement as a passive role, i.e., medical subject in a clinical trial. Respondents also reported that the role of the various stakeholders needed more clarification; this was also confirmed by the level of trust amongst the various stakeholders. Existing and the wish for more collaboration with the various stakeholders was reported by almost all respondents. Based on this survey, we can define the potential of involving patients in the medical research and development in the Belgian landscape. Our results will help to understand and tackle the various barriers that currently hamper patient involvement, whilst highlighting the need for a collaborative landscape from the multi-stakeholder perspective. © Copyright © 2020 Grine, Janssens, van Overbeeke, Derijcke, Silva, Delys, Dusart, Aertsen, Mertens de Wilmars, Robaczewska and Stevens.","medical innovation; multi-stakeholder; patient engagement; patient involvement; survey","adult; article; controlled study; human; interview; medical research; multiple choice test; patient participation; perception; trust"
"Hussain I.; Hofstetter C.P.; Wang M.Y.","Hussain, Ibrahim (57193441627); Hofstetter, Christoph P. (35108958100); Wang, Michael Y. (7406690861)","57193441627; 35108958100; 7406690861","Innovations in Spinal Endoscopy","2022","World Neurosurgery","160","","","138","148","10","10.1016/j.wneu.2021.11.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127074833&doi=10.1016%2fj.wneu.2021.11.099&partnerID=40&md5=59fea5f43c30aa5acedd082b08ba5e36","Innovations in spinal endoscopy technology and technique have broadened their applications during the past 10 years. Smaller outer-diameter working-channel endoscopes have permitted safe usage in the cervical spine for full endoscopic decompressions. Endoscopic fusions have now been widely reported, leveraging compatible instrumentation for disc preparation and expandable interbody grafts. This ultra–minimally invasive technique has also enabled the performance of fusion procedures in awake patients under monitored anesthesia care, affording speedier recovery and treatment options for those unable to undergo general anesthesia. Revision surgery after open or minimally invasive posterior discectomy or instrumentation can now be performed with endoscopic techniques, which often leverage the transforaminal approach to avoid scar tissue and adhesions. These procedures, among other endoscopic surgeries, are now being increasingly performed in ambulatory surgery centers, as safe outcomes, economic benefits to the healthcare system, and patients' desire to recover at home are becoming more apparent. Finally, the standardization of endoscopic terminology, which has long been a confounder to proper communication and education in this field, has recently been addressed by leading experts in a consensus document, which will serve as the foundation for future collaborative advancements. © 2021 Elsevier Inc.","Anterior lumbar interbody fusion; Lateral lumbar interbody fusion; Minimally invasive; Spinal endoscopy; TLIF; Transforaminal endoscopic lumbar discectomy; ULBD","Cervical Vertebrae; Diskectomy; Endoscopes; Endoscopy, Gastrointestinal; Humans; Lumbar Vertebrae; ambulatory surgery; Article; cervical spine; decompression surgery; endoscopic surgery; human; minimally invasive procedure; nomenclature; posterior lumbar interbody fusion; spine surgery; standardization; cervical vertebra; discectomy; endoscope; gastrointestinal endoscopy; lumbar vertebra; procedures; surgery"
"","","","12th Joint Conference on Knowledge-Based Software Engineering, JCKBSE 2018","2019","Smart Innovation, Systems and Technologies","108","","","","","258","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051797387&partnerID=40&md5=b3c4bb925e3dbb6fb669f5fb20845703","The proceedings contain 26 papers. The special focus in this conference is on Knowledge-Based Software Engineering. The topics include: Bibliometrics EEG metrics associations and connections between learning disabilities and the human brain activity; effectiveness of automated grading tool utilizing similarity for conceptual modeling; generating scenarios with access permission from a conceptual model; a knowledge transfer support system from text-based work reports with domain ontologies; support tool for refining conceptual model in collaborative learning; tool to automatically generate a screen transition model based on a conceptual model; 3D formation control of swarm robots using mobile agents; towards a secure semantic knowledge of healthcare data through structural ontological transformations; group affect recognition: Optimization of automatic classification; analysis of specification in Japanese using natural language processing; an artificial immune system-based approach for the extraction of learning style stereotypes; a sightseeing guidebook automatic generation printing system according to the attribute of tourist (KadaTabi); the development of the system which creates lecture contents by a combination of various units and learning content s; development case of information services to accelerate open innovation and implementation: Through demonstration experiments in Kagawa; automated decision making and personal data protection in intelligent tutoring systems: Design guidelineso; authoring technological and platform independent learning material and student’s progress profile using web services; computerized adaptive assessment using accumulative learning activities based on revised bloom’s taxonomy; deriving successful factors for practical ai system development projects using assurance case; estimation of business rules using associations analysis; notification messages considering human centered design.","",""
"","","","32nd International Conference on Information System 2011, ICIS 2011, Volume 1","2011","International Conference on Information Systems 2011, ICIS 2011","1","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884616489&partnerID=40&md5=bc0c88300003cc9b0127ea10c5271959","The proceedings contain 299 papers. The special focus in this conference is on Information System. The topics include: Situation awareness through social collaboration platforms in distributed work environments; attaining and enacting green leadership; culture and organizational computer-mediated communication; inter-organizational effects on sociomaterial imbrications and change; intrusiveness of online video advertising and its effects on marketing outcomes; dynamic personal feedback in acquiring information to manage your health; emotions as predictors of performance in virtual worlds; a profiling model for readmission of patients with congestive heart failure; information sharing in NHS polyclinics; integrating self-service kiosks into healthcare delivery organizations; an empirical study with strategic alignment in the healthcare industry; improving knowledge-intensive health care processes beyond efficiency; understanding the drivers and outcomes of healthcare organizational privacy responses; IT-based capabilities, service innovation, and quality in health care; microprocesses of healthcare technology implementation under competing institutional logics; understanding the impact of internet media on patient-clinician trust; measuring emotions in electronic markets; social networking and extending social capacity; an entropy index for multitasking behavior; an instrument for measuring SOA maturity; computer-mediated social networks and environmental behavior; an effective and efficient subpopulation extraction method in very large social networks; reputation and preemption strategies in competing technology networks; software adoption under network effects; consumer product consideration and choice at purchase time at online retailers; business values of community source; learning from peers on social media platforms; code architecture and open source software development; the price and quantity of IT-related intangible capital; the impact of third-party information on the dynamics of online word-of-mouth and retail sales; the roles of agency and artifacts in assembling open data complementarities; the role of culture and personality in the leadership process in virtual teams; user satisfaction of E-government procurement systems in developing countries; differences in knowledge seeking ties between the US and Singapore students; modeling quality dynamics in IT services management; herding behavior as a network externality; exploring information systems control alignment in organizations; the user-centered nature of awareness creation in computer-mediated communication; critical factors affecting compliance to campus alerts; substance and influence in brand communities; the attitude construct in IT adoption research - a scientometric analysis; examining trends of technology diffusion theories in information systems; management of change to ensure IS success; information systems development as a social process; testing tournament selection in creative problem solving using crowds; understanding online payment method choice; the influence of demands and resources on emotional exhaustion with the information systems profession; CIO survival and the composition of the top management team; social capital in the ICT sector - a network perspective on executive turnover and startup performance; activity awareness as a means to promote connectedness, willingness to do additional work, and congeniality; effects of media synchronicity on communication performance; comprehension of online consumer-generated product review; the role of product recommendation agents in collaborative online shopping; three classes of attitude and their implications for IS research; gender differences in virtual collaboration on a creative design task; toward deep understanding of persuasive product recommendation agents; understanding is education quality in developing countries; SYSCO's best business practices (BBP); public expenditure management through khajane - an integrated financial MIS; arguments for the adoption of a heuristic approach to IS research; information systems collaborations as boundary spanning; towards an evidence-based research approach in information systems; grounding theory from Delphi studies; PLS marker variable approach to diagnosing and controlling for method variance; benefits from using continuous rating scales in online survey research; evaluating two automatic methods for classifying information technology concepts; exploring interpersonal relationships in security information sharing; explaining the difference between how security cues and security arguments improve secure behavior; the impact of security practices on regulatory compliance and security performance; personal health records in cloud computing environments; empirical analysis of data breach litigation; extending UTAUT to predict the use of location-based services; project and organizational antecedents of effort withholding in IT project teams; modeling and checking business process compliance rules in the financial sector; participation in open source communities and its implications for organizational commitment; an empirical test of the theory of relationship constraints; an approach for portfolio selection in multi-vendor IT outsourcing; the essential dynamics of information infrastructures; a framework for investigating open innovation processes in ISD; four facets of a process modeling facilitator; a conceptual life event framework for government-to-citizen electronic services provision; perceptual congruence between IS users and professionals on IS service quality - insights from response surface analysis; dynamic service level agreement management for efficient operation of elastic information systems; impact of business intelligence and IT infrastructure flexibility on competitive performance; knowledge refinement effectiveness; towards a framework for measuring knowledge management service productivity; measuring the business value of online social media content for marketers; a data-centric perspective for workflow model management; protecting privacy against regression attacks in predictive data mining; the effects of job design on employees' knowledge contribution to electronic repositories; BI and CRM for customer involvement in product and service development; an effective method of discovering target groups on social networking sites; environmental scanning for customer complaint identification in social media; the effects of user identity and sanctions in online communities on real-world behavior; F-commerce and the crucial role of trust; when artificial feedback hurts - empirical evidence from community-based configuration systems; knowledge collaboration in distributed practice communities; a social identity perspective on participation in virtual healthcare communities; boundary-spanning documents in online communities; network stability and social contagion on the mobile internet; digital complementary assets; trusting social location technologies and interactions; telepresence in business meetings; exploring the role of online social network dependency in habit formation; a sociomateriality practice perspective of online social networking; automatic reputation assessment in Wikipedia; strategic decision support for smart-leasing infrastructure-as-a-service; the impact of different types of satisfaction on C2C platform loyalty; automated negotiations under uncertain preferences; nurturing sales entrepreneurship in consumer-to-consumer marketplaces; competing across different channels for personalized service; the influences of negativity and review quality on the helpfulness of online reviews; winner determination of open innovation contests in online markets; a dual view on IT challenges in corporate divestments and acquisitions; managing the IT integration of acquisitions by multi-business organizations; management commitments that maximize business impact from IT; institutional work and artifact evolution; four perspectives on architectural strategy; a coevolutionary journey of strategic knowledge management alignment; use of social media in disaster management; unpacking the duality of design science; acquiring IT competencies through focused technology acquisitions; IT artifacts and the state of IS research; senior scholars' forum and online social networking and citizen engagement.","",""
"Macauley K.; Skov H.; Lehtonen K.; Shulman B.","Macauley, Kelly (57189990323); Skov, Hanne (57189993994); Lehtonen, Krista (25824410500); Shulman, Brian (7004880012)","57189990323; 57189993994; 25824410500; 7004880012","Perceptions of an international interprofessional education experience: Findings from students based in Europe and North America","2016","Journal of Interprofessional Care","30","5","","606","614","8","10.1080/13561820.2016.1189888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976334495&doi=10.1080%2f13561820.2016.1189888&partnerID=40&md5=5128163a4aae2a2fe1c9163219b10f8b","The globalisation of healthcare is changing the demands placed on health professionals. It requires different skills and thought processes across national borders. Thinking in an innovative manner may provide healthcare workers with some of the necessary tools to facilitate international change by increasing students’ mental flexibility and ability to apply solutions in multiple contexts. We created the International Innovation Program for health profession education students to learn about and implement the innovation process. The programme provides students the opportunity to learn in interprofessional, international teams and apply didactic knowledge to community problems using the innovation process. The purpose of this article is to describe student perceptions across 4 years of programme implementation. Through analysis of closed-ended survey data, we found that students who participated in the programme reported improvements in collaboration and teamwork, project management, interprofessional teamwork, professional growth and development, thinking in an innovative manner, research and development skills, information seeking, and willingness to work on international projects. Analysis of the open-ended questions revealed five themes: language, teamwork and collaboration, cultural awareness, innovation process, and personal growth and self-improvement. The long-term, follow-up data indicate that these attributes can be transferred into a clinical context which have implications for improved collaboration and patient care. © 2016 Taylor & Francis.","Collaborative outcomes; education; interprofessional collaboration; interprofessional learning; surveys","Adult; Africa, Northern; Cooperative Behavior; Curriculum; Europe; Female; Health Knowledge, Attitudes, Practice; Health Occupations; Humans; Interprofessional Relations; Longitudinal Studies; Male; Patient Care Team; Problem-Based Learning; Surveys and Questionnaires; Young Adult; awareness; education; Europe; follow up; human; human experiment; information seeking; language; learning; North America; occupation; patient care; perception; skill; student; teamwork; thinking; adult; Africa; attitude to health; cooperation; curriculum; Europe; female; longitudinal study; male; medical profession; problem based learning; public relations; questionnaire; young adult"
"De Maria C.; Díaz Lantada A.; Di Pietro L.; Ravizza A.; Ahluwalia A.","De Maria, Carmelo (57200710316); Díaz Lantada, Andrés (16319177900); Di Pietro, Licia (57192913165); Ravizza, Alice (57192917283); Ahluwalia, Arti (7004369208)","57200710316; 16319177900; 57192913165; 57192917283; 7004369208","Open-Source Medical Devices: Concept, Trends, and Challenges Toward Equitable Healthcare Technology","2022","Engineering Open-Source Medical Devices: A Reliable Approach for Safe, Sustainable and Accessible Healthcare","","","","1","19","18","10.1007/978-3-030-79363-0_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152487154&doi=10.1007%2f978-3-030-79363-0_1&partnerID=40&md5=2e2f85118d09d71053a9bd03af9f1cdd","Medical technology has transformed the practice of medicine and patient care, with a wide set of relevant breakthroughs achieved during the last decades. However, in many cases, medical technology is developed in secrecy, and patients’ or medical professionals’ needs are considered as a minor part of the decision-making process, instead of being driven by relevant emergent social needs. In contrast with the biomedical industry, many product fields are now involving stakeholders and future users, since the beginning of the product development process, embracing the new paradigm of “open innovation” and showing interesting results in terms of improved performance, safety, and costs, among others. However, healthcare industry is still reluctant to taking advantage of the enormous potentials of open-source and collaborative approach toward a social development of medical devices. In order to highlight the potentials of open-source and collaborative engineering and design approaches for the future of biomedical industry and to help with its transformation, this chapter is focused on: (1) adequately defining the concept of open-source medical device (OSMD) and its boundaries, (2) presenting pioneering cases of success in the OSMD field and discussing their relevance, and (3) introducing the UBORA e-infrastructure and community, as key initiative in the field. This chapter serves also as an introduction to the whole handbook and to the more relevant concepts employed along this work. © Springer Nature Switzerland AG 2022.","Biomedical engineering; Equitable healthcare; Open-source hardware; Open-source medical devices; Open-source software",""
"Mun S.; Johnston D.; Henderson M.; Hewitt D.","Mun, Seong (7101645460); Johnston, Desereé (57190372162); Henderson, Mike (57190378636); Hewitt, Donald (57190383363)","7101645460; 57190372162; 57190378636; 57190383363","Community-based open source innovations with the U.S. department of veterans affairs' HER","2016","Proceedings of the European Conference on e-Government, ECEG","2016-January","","","115","121","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979610104&partnerID=40&md5=48da80257df0dd522fdd27986aa69af0","The U.S. Department of Veterans Affairs (VA) operates more than 140 hospitals and 1,000 clinics for the care of America's Military Veterans. VA has made a strategic decision to incorporate an open source software strategy into the modernization plan for its healthcare information system, VistA, as a part of the Open Government Policy. VA established the Open Source Electronic Health Record Alliance (OSEHRA) in 2011 as an independent nonprofit organization outside of government to be a hub for collaboration and rapid innovation. OSEHRA was chartered to build a community that included government as well as members of a global private sector that has developed commercial systems and services incorporating VistA software that has been in the public domain. VA's strategy is a bold attempt to harness the power of community collaboration in support of critical government infrastructure. This paper describes how OSEHRA facilitates transparent interactions between the global private sector and a major federal government agency, while dealing with traditional rules and regulations that often impede open collaboration. It describes several key milestones in the process, including the establishment of an independent certification process for open source code, the community-based collaborative development of a groundbreaking visualization tool to promote community understanding of the system, adoption by VA of major open source code improved and certified by the community, and the first community-wide consensus on code convergence. VA's participation in the code convergence has created the opportunity for a jointly-maintained code base that will benefit not only the U.S. Government, but also healthcare providers around the world. While much work remains in realizing the benefits of this strategy, determined efforts within and outside Government have created a significant opportunity and an informative case study in e-Government. © The Authors, 2016.","E-government; Electronic health record (EHR); Health IT; Open source; OSEHRA; VistA","Codes (symbols); Government data processing; Health; Health care; Open systems; Records management; Software engineering; E-governments; Electronic health record; Health it; Open sources; OSEHRA; VistA; Open source software"
"","","","32nd International Conference on Information System 2011, ICIS 2011, Volume 4","2011","International Conference on Information Systems 2011, ICIS 2011","4","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884646972&partnerID=40&md5=aacd2fa26e9f177d0c850bc302ac08ce","The proceedings contain 299 papers. The special focus in this conference is on Information System. The topics include: Situation awareness through social collaboration platforms in distributed work environments; attaining and enacting green leadership; culture and organizational computer-mediated communication; inter-organizational effects on sociomaterial imbrications and change; intrusiveness of online video advertising and its effects on marketing outcomes; dynamic personal feedback in acquiring information to manage your health; emotions as predictors of performance in virtual worlds; a profiling model for readmission of patients with congestive heart failure; information sharing in NHS polyclinics; integrating self-service kiosks into healthcare delivery organizations; an empirical study with strategic alignment in the healthcare industry; improving knowledge-intensive health care processes beyond efficiency; understanding the drivers and outcomes of healthcare organizational privacy responses; IT-based capabilities, service innovation, and quality in health care; microprocesses of healthcare technology implementation under competing institutional logics; understanding the impact of internet media on patient-clinician trust; measuring emotions in electronic markets; social networking and extending social capacity; an entropy index for multitasking behavior; an instrument for measuring SOA maturity; computer-mediated social networks and environmental behavior; an effective and efficient subpopulation extraction method in very large social networks; reputation and preemption strategies in competing technology networks; software adoption under network effects; consumer product consideration and choice at purchase time at online retailers; business values of community source; learning from peers on social media platforms; code architecture and open source software development; the price and quantity of IT-related intangible capital; the impact of third-party information on the dynamics of online word-of-mouth and retail sales; the roles of agency and artifacts in assembling open data complementarities; the role of culture and personality in the leadership process in virtual teams; user satisfaction of E-government procurement systems in developing countries; differences in knowledge seeking ties between the US and Singapore students; modeling quality dynamics in IT services management; herding behavior as a network externality; exploring information systems control alignment in organizations; the user-centered nature of awareness creation in computer-mediated communication; critical factors affecting compliance to campus alerts; substance and influence in brand communities; the attitude construct in IT adoption research - a scientometric analysis; examining trends of technology diffusion theories in information systems; management of change to ensure IS success; information systems development as a social process; testing tournament selection in creative problem solving using crowds; understanding online payment method choice; the influence of demands and resources on emotional exhaustion with the information systems profession; CIO survival and the composition of the top management team; social capital in the ICT sector - a network perspective on executive turnover and startup performance; activity awareness as a means to promote connectedness, willingness to do additional work, and congeniality; effects of media synchronicity on communication performance; comprehension of online consumer-generated product review; the role of product recommendation agents in collaborative online shopping; three classes of attitude and their implications for IS research; gender differences in virtual collaboration on a creative design task; toward deep understanding of persuasive product recommendation agents; understanding is education quality in developing countries; SYSCO's best business practices (BBP); public expenditure management through khajane - an integrated financial MIS; arguments for the adoption of a heuristic approach to IS research; information systems collaborations as boundary spanning; towards an evidence-based research approach in information systems; grounding theory from Delphi studies; PLS marker variable approach to diagnosing and controlling for method variance; benefits from using continuous rating scales in online survey research; evaluating two automatic methods for classifying information technology concepts; exploring interpersonal relationships in security information sharing; explaining the difference between how security cues and security arguments improve secure behavior; the impact of security practices on regulatory compliance and security performance; personal health records in cloud computing environments; empirical analysis of data breach litigation; extending UTAUT to predict the use of location-based services; project and organizational antecedents of effort withholding in IT project teams; modeling and checking business process compliance rules in the financial sector; participation in open source communities and its implications for organizational commitment; an empirical test of the theory of relationship constraints; an approach for portfolio selection in multi-vendor IT outsourcing; the essential dynamics of information infrastructures; a framework for investigating open innovation processes in ISD; four facets of a process modeling facilitator; a conceptual life event framework for government-to-citizen electronic services provision; perceptual congruence between IS users and professionals on IS service quality - insights from response surface analysis; dynamic service level agreement management for efficient operation of elastic information systems; impact of business intelligence and IT infrastructure flexibility on competitive performance; knowledge refinement effectiveness; towards a framework for measuring knowledge management service productivity; measuring the business value of online social media content for marketers; a data-centric perspective for workflow model management; protecting privacy against regression attacks in predictive data mining; the effects of job design on employees' knowledge contribution to electronic repositories; BI and CRM for customer involvement in product and service development; an effective method of discovering target groups on social networking sites; environmental scanning for customer complaint identification in social media; the effects of user identity and sanctions in online communities on real-world behavior; F-commerce and the crucial role of trust; when artificial feedback hurts - empirical evidence from community-based configuration systems; knowledge collaboration in distributed practice communities; a social identity perspective on participation in virtual healthcare communities; boundary-spanning documents in online communities; network stability and social contagion on the mobile internet; digital complementary assets; trusting social location technologies and interactions; telepresence in business meetings; exploring the role of online social network dependency in habit formation; a sociomateriality practice perspective of online social networking; automatic reputation assessment in Wikipedia; strategic decision support for smart-leasing infrastructure-as-a-service; the impact of different types of satisfaction on C2C platform loyalty; automated negotiations under uncertain preferences; nurturing sales entrepreneurship in consumer-to-consumer marketplaces; competing across different channels for personalized service; the influences of negativity and review quality on the helpfulness of online reviews; winner determination of open innovation contests in online markets; a dual view on IT challenges in corporate divestments and acquisitions; managing the IT integration of acquisitions by multi-business organizations; management commitments that maximize business impact from IT; institutional work and artifact evolution; four perspectives on architectural strategy; a coevolutionary journey of strategic knowledge management alignment; use of social media in disaster management; unpacking the duality of design science; acquiring IT competencies through focused technology acquisitions; IT artifacts and the state of IS research; senior scholars' forum and online social networking and citizen engagement.","",""
"Ley T.; Carder P.; Dewey R.; Elferink R.; Kämäräinen P.; Müller W.; Peffer G.; Treasure-Jones T.","Ley, Tobias (57200223989); Carder, Paul (56646638100); Dewey, Rose (57205651569); Elferink, Raymond (55570076100); Kämäräinen, Pekka (57196117166); Müller, Werner (57219488237); Peffer, Gilbert (56196690000); Treasure-Jones, Tamsin (6506848568)","57200223989; 56646638100; 57205651569; 55570076100; 57196117166; 57219488237; 56196690000; 6506848568","Designing Technology-enhanced Learning Research for sustainable impact: The Learning Layers case","2020","CEUR Workshop Proceedings","2676","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093118142&partnerID=40&md5=f3efdf716c00ed99b17b93ca8956012d","Research in technology-enhanced Learning (TEL) is often criticized for not leading to sufficient and sustainable impact in practice. This is especially so for workplace learning technology where learning and the use of technology needs to be embedded in working practices. We report on Learning Layers, a TEL project on workplace learning that ran between 2012 and 2016. We have identified three cases where impact on practice is still visible today, as learning technology originally developed in the project is still in use, impacts learning, teaching and working practices in healthcare practices, construction training and in the application of e-posters in academic conferences. We use the cases to identify factors during the lifetime of the project that have facilitated sustainable take up of research results, namely a flexible and collaborative project roll out, an open research process, early focus on end-users and an inclusive process of planning for impact and exploitation. Taken together, these factors suggest to look at research projects as providing flexible and networked co-creation platforms for innovation. © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","Co-design; Impact; R&D projects; Research; Sustainability; Technology-enhanced Learning; Workplace Learning","Academic conferences; Collaborative projects; Construction training; Learning technology; Sustainable impacts; Technology enhanced learning; Working practices; Workplace learning; Engineering education"
